tot_people,workers_over_spectators,nb_of_spectators,nb_of_workers,max_perception_distance,speed,speed_ratio,leader_frac,follower_frac,tot_victims,tot_saved_people,tot_spectators_victims,tot_spectators_saved,tot_workers_victims,tot_workers_saved,tot_leaders_victims,tot_leaders_saved,tot_followers_victims,tot_followers_saved,tot_panic_victims,tot_panic_saved
500,0.1,454,46,700.0,0.08333333333333333,2.0,0.1,0.75,6,489,6,445,0,44,0,43,5,343,1,59
500,0.1,454,46,700.0,0.08333333333333333,2.0,0.1,0.75,2,304,1,274,1,30,1,24,0,208,0,42
500,0.1,454,46,700.0,0.08333333333333333,2.0,0.1,0.75,19,456,16,415,3,41,0,38,16,314,0,63
500,0.1,454,46,700.0,0.08333333333333333,2.0,0.1,0.75,10,157,9,142,1,15,3,18,6,104,0,20
500,0.1,454,46,700.0,0.08333333333333333,2.0,0.1,0.75,9,383,7,345,2,38,2,40,3,264,2,41
500,0.1,454,46,700.0,0.08333333333333333,2.0,0.1,0.75,0,473,0,428,0,45,0,50,0,321,0,57
500,0.1,454,46,700.0,0.08333333333333333,2.0,0.1,0.75,6,161,5,145,1,16,1,14,4,109,0,22
500,0.1,454,46,700.0,0.08333333333333333,2.0,0.1,0.75,20,337,19,302,1,35,4,35,13,232,2,35
500,0.1,454,46,700.0,0.08333333333333333,2.0,0.1,0.75,8,394,6,356,2,38,2,46,4,267,0,43
500,0.1,454,46,700.0,0.08333333333333333,2.0,0.1,0.75,110,119,99,106,11,13,6,13,78,75,15,18
500,0.1,454,46,700.0,0.08333333333333333,2.0,0.1,0.75,90,293,79,266,11,27,4,22,61,205,14,39
500,0.1,454,46,700.0,0.08333333333333333,2.0,0.1,0.75,37,283,33,255,4,28,2,33,26,184,5,38
500,0.1,454,46,700.0,0.08333333333333333,2.0,0.1,0.75,0,497,0,452,0,45,0,40,0,346,0,66
500,0.1,454,46,700.0,0.08333333333333333,2.0,0.1,0.75,50,311,44,280,6,31,3,36,35,204,6,40
500,0.1,454,46,700.0,0.08333333333333333,2.0,0.1,0.75,0,497,0,451,0,46,0,41,0,362,0,48
500,0.1,454,46,700.0,0.08333333333333333,2.0,0.1,0.75,1,176,1,158,0,18,0,17,1,123,0,18
500,0.1,454,46,700.0,0.08333333333333333,2.0,0.1,0.75,0,334,0,298,0,36,0,32,0,217,0,49
500,0.1,454,46,800.0,0.08333333333333333,2.0,0.1,0.75,97,388,88,352,9,36,8,26,69,271,11,55
500,0.1,454,46,800.0,0.08333333333333333,2.0,0.1,0.75,152,184,137,165,15,19,10,20,103,116,24,29
500,0.1,454,46,800.0,0.08333333333333333,2.0,0.1,0.75,14,462,12,420,2,42,0,51,11,305,1,64
500,0.1,454,46,800.0,0.08333333333333333,2.0,0.1,0.75,4,434,4,393,0,41,2,44,1,300,1,49
500,0.1,454,46,800.0,0.08333333333333333,2.0,0.1,0.75,57,344,50,314,7,30,6,32,34,240,10,42
500,0.1,454,46,800.0,0.08333333333333333,2.0,0.1,0.75,154,165,144,147,10,18,8,25,111,101,25,21
500,0.1,454,46,800.0,0.08333333333333333,2.0,0.1,0.75,90,174,81,156,9,18,8,13,52,120,21,23
500,0.1,454,46,800.0,0.08333333333333333,2.0,0.1,0.75,15,305,14,276,1,29,3,34,8,202,3,40
500,0.1,454,46,800.0,0.08333333333333333,2.0,0.1,0.75,93,175,89,154,4,21,9,13,65,118,15,23
500,0.1,454,46,800.0,0.08333333333333333,2.0,0.1,0.75,28,79,25,72,3,7,2,9,23,53,0,10
500,0.1,454,46,800.0,0.08333333333333333,2.0,0.1,0.75,4,180,4,164,0,16,1,11,3,127,0,26
500,0.1,454,46,800.0,0.08333333333333333,2.0,0.1,0.75,4,495,2,451,2,44,0,51,2,339,0,61
500,0.1,454,46,800.0,0.08333333333333333,2.0,0.1,0.75,0,452,0,413,0,39,0,46,0,317,0,50
500,0.1,454,46,800.0,0.08333333333333333,2.0,0.1,0.75,0,261,0,235,0,26,0,16,0,187,0,32
500,0.1,454,46,800.0,0.08333333333333333,2.0,0.1,0.75,2,379,2,342,0,37,0,40,2,260,0,42
500,0.1,454,46,800.0,0.08333333333333333,2.0,0.1,0.75,1,294,0,263,1,31,0,26,0,205,0,32
500,0.1,454,46,800.0,0.08333333333333333,2.0,0.1,0.75,0,495,0,449,0,46,0,52,0,339,0,58
500,0.1,454,46,800.0,0.08333333333333333,2.0,0.1,0.75,4,328,4,298,0,30,0,26,3,228,1,44
500,0.1,454,46,800.0,0.08333333333333333,2.0,0.1,0.75,0,276,0,252,0,24,0,36,0,183,0,33
500,0.1,454,46,800.0,0.08333333333333333,2.0,0.1,0.75,0,496,0,451,0,45,0,48,0,352,0,51
500,0.1,454,46,900.0,0.08333333333333333,2.0,0.1,0.75,24,302,21,274,3,28,2,22,11,213,8,39
500,0.1,454,46,900.0,0.08333333333333333,2.0,0.1,0.75,94,275,84,251,10,24,9,23,64,192,11,36
500,0.1,454,46,900.0,0.08333333333333333,2.0,0.1,0.75,13,200,11,176,2,24,0,21,11,138,0,17
500,0.1,454,46,900.0,0.08333333333333333,2.0,0.1,0.75,27,230,25,214,2,16,4,25,18,148,3,41
500,0.1,454,46,900.0,0.08333333333333333,2.0,0.1,0.75,164,79,150,63,14,16,18,6,106,45,26,12
