tot_people,workers_over_spectators,nb_of_spectators,nb_of_workers,min_perception_distance,max_perception_distance,speed,speed_ratio,leader_frac,follower_frac,tot_victims,tot_saved_people,tot_spectators_victims,tot_spectators_saved,tot_workers_victims,tot_workers_saved,tot_leaders_victims,tot_leaders_saved,tot_followers_victims,tot_followers_saved,tot_panic_victims,tot_panic_saved
550,0.1,500,50,1.0,5.0,0.08333333333333333,2.0,0.1,0.75,21,197,19,176,2,21,2,16,15,136,2,24
600,0.1,545,55,1.0,5.0,0.08333333333333333,2.0,0.1,0.75,5,313,5,282,0,31,0,38,5,205,0,39
600,0.1,545,55,1.0,5.0,0.08333333333333333,2.0,0.1,0.75,15,319,13,281,2,38,1,25,11,224,1,32
600,0.1,545,55,1.0,5.0,0.08333333333333333,2.0,0.1,0.75,16,291,15,259,1,32,0,26,14,200,1,33
600,0.1,545,55,1.0,5.0,0.08333333333333333,2.0,0.1,0.75,28,190,24,169,4,21,2,21,18,129,4,19
600,0.1,545,55,1.0,5.0,0.08333333333333333,2.0,0.1,0.75,139,317,132,272,7,45,13,35,104,203,15,34
600,0.1,545,55,1.0,5.0,0.08333333333333333,2.0,0.1,0.75,56,247,52,219,4,28,4,22,39,166,9,31
600,0.1,545,55,1.0,5.0,0.08333333333333333,2.0,0.1,0.75,117,337,113,299,4,38,7,31,88,225,18,43
600,0.1,545,55,1.0,5.0,0.08333333333333333,2.0,0.1,0.75,11,271,11,244,0,27,1,26,9,186,1,32
600,0.1,545,55,1.0,5.0,0.08333333333333333,2.0,0.1,0.75,17,253,16,226,1,27,0,14,14,180,2,32
600,0.1,545,55,1.0,5.0,0.08333333333333333,2.0,0.1,0.75,13,223,10,200,3,23,0,17,10,156,0,27
600,0.1,545,55,1.0,5.0,0.08333333333333333,2.0,0.1,0.75,5,355,4,320,1,35,1,30,2,251,1,39
600,0.1,545,55,1.0,5.0,0.08333333333333333,2.0,0.1,0.75,39,260,37,230,2,30,3,29,28,169,6,32
600,0.1,545,55,1.0,5.0,0.08333333333333333,2.0,0.1,0.75,28,266,23,239,5,27,3,24,19,182,1,33
600,0.1,545,55,1.0,5.0,0.08333333333333333,2.0,0.1,0.75,28,183,24,159,4,24,3,23,17,112,4,24
600,0.1,545,55,1.0,5.0,0.08333333333333333,2.0,0.1,0.75,0,237,0,218,0,19,0,23,0,166,0,29
600,0.1,545,55,1.0,5.0,0.08333333333333333,2.0,0.1,0.75,11,222,11,199,0,23,0,12,10,163,1,24
600,0.1,545,55,1.0,5.0,0.08333333333333333,2.0,0.1,0.75,16,165,14,148,2,17,1,14,12,117,1,17
600,0.1,545,55,1.0,5.0,0.08333333333333333,2.0,0.1,0.75,99,204,85,185,14,19,5,27,58,133,22,25
600,0.1,545,55,1.0,5.0,0.08333333333333333,2.0,0.1,0.75,21,225,19,201,2,24,2,18,11,155,6,28
600,0.1,545,55,1.0,5.0,0.08333333333333333,2.0,0.1,0.75,83,262,76,236,7,26,9,25,59,189,8,22
650,0.1,590,60,1.0,5.0,0.08333333333333333,2.0,0.1,0.75,17,357,17,320,0,37,3,44,11,242,3,34
650,0.1,590,60,1.0,5.0,0.08333333333333333,2.0,0.1,0.75,2,168,2,153,0,15,0,24,2,99,0,30
650,0.1,590,60,1.0,5.0,0.08333333333333333,2.0,0.1,0.75,23,282,21,252,2,30,6,30,11,190,4,32
650,0.1,590,60,1.0,5.0,0.08333333333333333,2.0,0.1,0.75,43,272,41,241,2,31,3,25,33,190,5,26
650,0.1,590,60,1.0,5.0,0.08333333333333333,2.0,0.1,0.75,40,276,36,249,4,27,1,28,30,185,5,36
650,0.1,590,60,1.0,5.0,0.08333333333333333,2.0,0.1,0.75,38,257,33,228,5,29,4,27,23,178,6,23
650,0.1,590,60,1.0,5.0,0.08333333333333333,2.0,0.1,0.75,22,296,19,262,3,34,2,23,14,210,3,29
650,0.1,590,60,1.0,5.0,0.08333333333333333,2.0,0.1,0.75,16,253,15,222,1,31,3,28,9,158,3,36
650,0.1,590,60,1.0,5.0,0.08333333333333333,2.0,0.1,0.75,46,257,44,225,2,32,4,12,34,190,6,23
650,0.1,590,60,1.0,5.0,0.08333333333333333,2.0,0.1,0.75,65,267,58,234,7,33,8,21,43,187,7,26
650,0.1,590,60,1.0,5.0,0.08333333333333333,2.0,0.1,0.75,8,156,6,142,2,14,0,17,6,109,0,16
650,0.1,590,60,1.0,5.0,0.08333333333333333,2.0,0.1,0.75,20,367,17,330,3,37,1,44,14,244,2,42
650,0.1,590,60,1.0,5.0,0.08333333333333333,2.0,0.1,0.75,12,235,12,205,0,30,2,20,7,148,3,37
650,0.1,590,60,1.0,5.0,0.08333333333333333,2.0,0.1,0.75,0,190,0,167,0,23,0,21,0,130,0,16
650,0.1,590,60,1.0,5.0,0.08333333333333333,2.0,0.1,0.75,1,267,1,238,0,29,0,27,1,184,0,27
650,0.1,590,60,1.0,5.0,0.08333333333333333,2.0,0.1,0.75,35,163,32,146,3,17,3,14,23,110,6,22
650,0.1,590,60,1.0,5.0,0.08333333333333333,2.0,0.1,0.75,26,300,22,263,4,37,2,29,18,197,2,37
650,0.1,590,60,1.0,5.0,0.08333333333333333,2.0,0.1,0.75,16,181,15,171,1,10,0,23,11,120,4,28
650,0.1,590,60,1.0,5.0,0.08333333333333333,2.0,0.1,0.75,46,228,43,200,3,28,4,28,35,148,4,24
650,0.1,590,60,1.0,5.0,0.08333333333333333,2.0,0.1,0.75,75,142,66,129,9,13,3,17,57,98,6,14
700,0.1,636,64,1.0,5.0,0.08333333333333333,2.0,0.1,0.75,47,326,45,291,2,35,7,40,29,223,9,28
700,0.1,636,64,1.0,5.0,0.08333333333333333,2.0,0.1,0.75,40,196,38,172,2,24,3,15,30,134,5,23
700,0.1,636,64,1.0,5.0,0.08333333333333333,2.0,0.1,0.75,28,287,27,259,1,28,3,26,13,200,11,33
700,0.1,636,64,1.0,5.0,0.08333333333333333,2.0,0.1,0.75,140,311,130,278,10,33,16,31,97,211,17,36
700,0.1,636,64,1.0,5.0,0.08333333333333333,2.0,0.1,0.75,2,239,2,219,0,20,0,22,2,168,0,29
700,0.1,636,64,1.0,5.0,0.08333333333333333,2.0,0.1,0.75,112,376,101,340,11,36,12,42,73,262,16,36
700,0.1,636,64,1.0,5.0,0.08333333333333333,2.0,0.1,0.75,13,305,13,267,0,38,1,33,10,205,2,29
700,0.1,636,64,1.0,5.0,0.08333333333333333,2.0,0.1,0.75,24,310,24,278,0,32,2,24,15,221,7,33
700,0.1,636,64,1.0,5.0,0.08333333333333333,2.0,0.1,0.75,9,236,8,211,1,25,0,19,6,165,2,27
700,0.1,636,64,1.0,5.0,0.08333333333333333,2.0,0.1,0.75,5,230,4,207,1,23,2,12,2,173,0,22
700,0.1,636,64,1.0,5.0,0.08333333333333333,2.0,0.1,0.75,27,418,25,375,2,43,1,40,22,294,2,41
700,0.1,636,64,1.0,5.0,0.08333333333333333,2.0,0.1,0.75,47,320,43,290,4,30,6,27,30,226,7,37
700,0.1,636,64,1.0,5.0,0.08333333333333333,2.0,0.1,0.75,18,253,17,226,1,27,1,23,13,174,3,29
700,0.1,636,64,1.0,5.0,0.08333333333333333,2.0,0.1,0.75,45,162,39,143,6,19,4,19,31,111,4,13
700,0.1,636,64,1.0,5.0,0.08333333333333333,2.0,0.1,0.75,0,240,0,217,0,23,0,36,0,153,0,28
700,0.1,636,64,1.0,5.0,0.08333333333333333,2.0,0.1,0.75,2,223,2,195,0,28,0,18,2,153,0,24
